"Activation Information","Informations d'activation"
"Wishlists","Liste d'envies"
"My Wishlist","Ma liste d'envies"
"My Wishlist","Ma liste d'envies"
"Share Wishlist","Partager ma liste d'envies"
"Required Fields","Champs obligatoires"
"Price as configured","Prix de cette configuration "
"The link to a friend was sent.","Votre message a été envoyé."
"My Cart (0)","Panier (0)"
"My Cart","Panier"
"My Cart (%s)","Panier (%s)"
"My Cart (%s item)","Panier ( %s )"
"My Cart (%s items)","Panier ( %s )"
"Mage_Catalog::Sort By","Tri"
"Log in","Identifiez-vous"
"Connection","Connexion"
"If you have an account with us, please log in.","Si vous avez déjà un compte, identifiez-vous"
"Mage_Customer::Edit","Editer"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Depuis le tableau de bord 'Mon compte', vous pouvez avoir un aperçu de vos récentes activités et mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"My Dashboard","Mon Tableau de Bord"
"Account Dashboard","Tableau de bord du compte"
"Mage_Sales::View Order","Visualiser"
"Mage_Sales::Recent Orders","Mes dernières commandes"
"Mage_Sales::Reorder","Renouveler"
"Mage_Sales::Ship To","Livré à"
"Mage_Sales::Order Total","Total"
"Mage_Sales::View All","Voir toutes mes commandes"
"You are currently not subscribed to any newsletter.","Vous n’êtes abonné à aucune newsletter."
"Mage_Customer::* Required Fields","<em>*</em> Champs obligatoire"
"Mage_Customer::Save":"Sauvegarder"
"Mage_Customer::Please select region, state or province","Sélectionner la région/département"
"Mage_Customer::Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Mage_Customer::Use as my default shipping address","Utiliser comme adresse de livraison par défaut"
"Mage_Sales::Product Name","Nom du produit"
"Add All to Cart","Tout ajouter au panier"
"Discount Codes","Code avantage"
"My Code","mon code"
"Subtotal (Excl. Tax)","Sous-total (HT)"
"Subtotal (Incl. Tax)","Sous-total (TTC)"
"Grand Total Excl. Tax","Total (HT)"
"Grand Total Incl. Tax","Total (TTC)"
"Mage_Tax::Tax","Taxes"
"Proceed to Checkout","Commander"
"Checkout Method","Connexion"
"Mage_Checkout::Login","Connexion"
"Mage_Checkout::My Cart","Mon panier"
"j2t_ajaxcheckout::My Cart","Mon panier"
"Mage_Checkout::My Cart (%s item)","Mon panier (%s)"
"Mage_Checkout::My Cart (%s items)","Mon panier (%s)"
"Mage_Checkout::Please log in below:","Pour passer votre commande, Veuillez vous identifier"
"Mage_Checkout::Your Checkout Progress","Avancement de votre commande"
"Place Order","Régler ma commande maintenant"
"My Search","Ma Recherche"
"Mage_Catalog::Currently Shopping by:","Options sélectionnées"
"Mage_Catalog::Shopping Options","Options disponibles"
"Mage_Catalog::Clear All","Tout supprimer"
